,AAPL,MSFT,GOOGL,AMZN,TSLA
2020-06-16,85.6727541126,185.7802624682,71.9749500407,130.7635,65.4753333333
2020-06-17,85.5535208431,186.4233000043,72.2769873776,132.049,66.1193333333
2020-06-18,85.5875874915,188.4195956386,71.3604259697,132.699,66.9306666667
2020-06-19,85.0984877535,187.2966793443,70.8887103265,133.7505,66.7266666667
2020-06-22,87.3249865609,192.4985650837,72.1834403935,135.691,66.288
2020-06-23,89.1889188959,193.7846401558,72.8462307276,138.2205,66.7853333333
2020-06-24,87.6145530725,189.8784270637,71.2897681413,136.72,64.0566666667
2020-06-25,88.7776857829,192.2778208549,71.7077440276,137.729,65.732
2020-06-26,86.0499205772,188.4291932138,67.7986743095,134.6435,63.9826666667
2020-06-29,88.0330861817,190.4542815736,69.52182966,134.019,67.29
2020-06-30,88.7679524547,195.3202521822,70.5607982918,137.941,71.9873333333
2020-07-01,88.6000525447,196.4623636268,71.7525271583,143.935,74.642
2020-07-02,88.6000525447,197.9595853526,73.1422969804,144.515,80.5773333333
2020-07-06,90.9701179419,202.2209087258,74.6211354736,152.852,91.4386666667
2020-07-07,90.6878514264,199.8695028104,74.1369800719,150.006,92.6573333333
2020-07-08,92.7999836285,204.265192236,74.8176836583,154.0555,91.0586666667
2020-07-09,93.1990500814,205.6952309355,75.5670547117,159.1315,92.952
2020-07-10,93.3620833274,205.0713885498,76.5796510554,160.0,102.9766666667
2020-07-13,92.9313835581,198.7369889409,75.2471041225,155.2,99.804
2020-07-14,94.469249401,199.9654785621,75.6765245867,154.2,101.12
2020-07-15,95.1189490531,199.6679537319,75.478483631,150.4435,103.0673333333
2020-07-16,93.9485163466,195.713752764,75.3809559242,149.995,100.0426666667
2020-07-17,93.7587164483,194.7156049468,75.47699086,148.0985,100.056
2020-07-20,95.7345820567,203.0846904907,77.8151678719,159.842,109.5333333333
2020-07-21,94.4132827644,200.3493815687,77.4210763219,156.9145,104.5573333333
2020-07-22,94.6785159556,203.2286541181,77.8654244963,154.9955,106.1553333333
2020-07-23,90.3690849305,194.3892873912,75.4720149565,149.3275,100.8713333333
2020-07-24,90.1452183837,193.1991880708,75.0470728054,150.4455,94.4666666667
2020-07-27,92.2816839061,195.6465697378,76.1029595088,152.7605,102.64
2020-07-28,90.7657180514,193.8902134826,74.82017161,150.0165,98.4326666667
2020-07-29,92.5055504528,195.8481188163,75.808386027,151.6765,99.9406666667
2020-07-30,93.6248831866,195.6945576136,76.5478052736,152.594,99.166
2020-07-31,103.4263446035,196.759888457,74.0389547747,158.234,95.384
2020-08-03,106.0324432077,207.8258926222,73.7807053878,155.5945,99.0
2020-08-04,106.7405428284,204.7066806936,73.3099849253,156.9415,99.1333333333
2020-08-05,107.1274426212,204.3707655628,73.5980897327,160.2515,99.0013333333
2020-08-06,110.8650406192,207.643538694,74.8848583543,161.25,99.3053333333
2020-08-07,108.3489753002,203.9292771052,74.55744391,158.373,96.8473333333
2020-08-10,109.9238079708,199.8695028104,74.4803174071,157.408,94.5713333333
2020-08-11,106.6546893775,195.1954837051,73.6702403321,154.0335,91.626
2020-08-12,110.1992817971,200.7716748759,74.9988065423,158.112,103.6506666667
2020-08-13,112.1495389743,200.3013936928,75.4670390531,158.051,108.0666666667
2020-08-14,112.0495882939,200.4933451961,74.8689354634,157.401,110.0473333333
2020-08-17,111.7570497174,201.8178105689,75.4466378492,159.1205,122.376
2020-08-18,112.6882975195,202.9791171639,77.4141100571,165.6245,125.806
2020-08-19,112.8296911648,201.7506275427,76.8583016463,163.024,125.2353333333
2020-08-20,115.333333816,206.4456349934,78.4326774849,164.8685,133.4553333333
2020-08-21,121.2767425635,204.9447719559,78.3988413417,164.236,136.6653333333
2020-08-24,122.727246339,205.5893733887,78.8755328883,165.373,134.28
2020-08-25,121.7204260713,208.2639882889,79.905544894,167.3245,134.8893333333
2020-08-26,123.3757068505,212.7665774014,81.810320719,172.0925,143.5446666667
2020-08-27,121.9008248602,217.990735282,81.0335821968,170.0,149.25
2020-08-28,121.703361321,220.2324089214,81.5764532588,170.09,147.56
2020-08-31,125.8305930722,216.9805390067,81.0838388213,172.548,166.1066666667
2020-09-01,130.8427540176,218.6545785486,82.3551821423,174.956,158.35
2020-09-02,128.1318965413,222.8685401539,85.4556675564,176.5725,149.1233333333
2020-09-03,117.8735437893,209.0625243922,81.0828436406,168.4,135.6666666667
2020-09-04,117.9515540764,206.1281447355,78.679482294,164.731,139.44
2020-09-08,110.0140073652,194.9775020401,75.8128643401,157.492,110.07
2020-09-09,114.4020860139,203.280353331,76.9886703156,163.4305,122.0933333333
2020-09-10,110.6673435196,197.5847705219,75.9347739736,158.7555,123.78
2020-09-11,109.2144019226,196.2955676564,75.4227535128,155.811,124.24
2020-09-14,112.4859583373,197.6232541896,75.0779234066,155.1485,139.8733333333
2020-09-15,112.6663571262,200.8655031873,76.3860884128,157.8065,149.92
2020-09-16,109.3411686391,197.2769011809,75.2401378577,153.905,147.2533333333
2020-09-17,107.5956884655,195.2180249628,73.9936740537,150.4365,141.1433333333
2020-09-18,104.1827384054,192.7935539022,72.2048367782,147.7455,147.3833333333
2020-09-21,107.3421550325,194.8620510372,71.162385014,148.0235,149.7966666667
2020-09-22,109.0291274908,199.5570584879,72.6392331458,156.4495,141.41
2020-09-23,104.4557744103,192.9859722403,70.1298850566,149.993,126.7866666667
2020-09-24,105.5284158577,195.4874106362,70.8001392458,150.9895,129.2633333333
2020-09-25,109.4874379274,199.9418951642,71.6062355981,154.7565,135.78
2020-09-28,112.1007825448,201.5004837032,72.5815126662,158.7025,140.4
2020-09-29,111.2524206728,199.4031238174,72.9477391571,157.244,139.69
2020-09-30,112.9296418451,202.3567453079,72.9268403628,157.4365,143.0033333333
2020-10-01,113.885267862,204.4060006091,74.036466823,161.063,149.3866666667
2020-10-02,110.209033083,198.3736857083,72.4292500219,156.25,138.3633333333
2020-10-05,113.6024805713,202.4048498924,73.7841885202,159.96,141.8933333333
2020-10-06,110.3455510854,198.1043000349,72.2013536458,154.998,137.9933333333
2020-10-07,112.2177979755,201.8756994625,72.6053970026,159.7845,141.7666666667
2020-10-08,112.1105338307,202.5972682306,73.8140439407,159.5275,141.9733333333
2020-10-09,114.0607910079,207.629007773,75.1585330418,164.3325,144.6666666667
2020-10-12,121.3059964212,213.0071003241,77.8524871474,172.1465,147.4333333333
2020-10-13,118.0880720788,214.4117541925,77.975889552,172.1815,148.8833333333
2020-10-14,118.1758336518,212.4875708111,77.7952642582,168.1855,153.7666666667
2020-10-15,117.7077719293,211.3330607823,77.3986847565,166.9325,149.6266666667
2020-10-16,116.0598046145,211.3330607823,78.0072377435,163.6355,146.5566666667
2020-10-19,113.0954137052,206.0992819848,76.1288342065,160.3605,143.61
2020-10-20,114.5873604458,206.5129814118,77.1802425969,160.8505,140.6466666667
2020-10-21,113.9632781491,206.6572951654,78.917330477,159.247,140.88
2020-10-22,112.8711341298,206.7438834175,79.9458497116,158.82,141.93
2020-10-23,112.1787928319,208.0330862831,81.2555074889,160.22,140.21
2020-10-26,112.1885441178,202.1162223852,78.832740119,160.352,140.0933333333
2020-10-27,113.6999934301,205.1660530448,79.5587244264,164.3165,141.56
2020-10-28,108.4342990517,194.9967438739,75.1759487037,158.139,135.34
2020-10-29,112.4518288367,196.959410923,77.4688449946,160.5505,136.9433333333
2020-10-30,106.1524981544,194.7947046189,80.4160725838,151.8075,129.3466666667
2020-11-02,106.0647365814,194.6600117822,80.8245942536,150.224,133.5033333333
2020-11-03,107.6932013244,198.6045877141,81.8864520411,152.4205,141.3
2020-11-04,112.0910312589,208.1870209536,86.8718096666,162.058,140.3266666667
2020-11-05,116.0695559004,214.8254536195,87.7002975843,166.1,146.03
2020-11-06,115.937913541,215.2391530466,87.5624650598,165.5685,143.3166666667
2020-11-09,113.6228671589,210.111204335,87.6465578274,157.187,140.42
2020-11-10,113.280982672,203.0109676576,86.4672687195,151.751,136.7866666667
2020-11-11,116.7193637965,208.3409556241,86.9404771337,156.8695,139.0433333333
2020-11-12,116.4458562071,207.2730338474,86.7210397934,155.514,137.2533333333
2020-11-13,116.494696848,208.3024719565,88.185945757,156.4405,136.1666666667
2020-11-16,117.5105821803,208.9951779738,88.2740192473,156.553,136.03
2020-11-17,116.6216825146,206.3301839905,87.6584999956,156.783,147.2033333333
2020-11-18,115.2932170801,203.6170854227,86.612565099,155.273,162.2133333333
2020-11-19,115.8890729,204.9097085726,87.5047445803,155.851,166.4233333333
2020-11-20,114.6192162347,202.951480965,86.4005916138,154.97,163.2033333333
2020-11-23,111.2101394948,202.6813806053,85.9617169331,154.9195,173.95
2020-11-24,112.4995324165,206.2987961366,87.769960232,155.903,185.1266666667
2020-11-25,113.3395914412,206.308442578,87.7814048098,159.2535,191.3333333333
2020-11-27,113.8866066201,207.6203586106,88.9203891001,159.767,195.2533333333
2020-11-30,116.289566156,206.5013714063,87.2972494081,158.402,189.2
2020-12-01,119.8744692034,208.5657098695,89.3353794445,161.004,194.92
2020-12-02,120.2261218184,207.7554087905,90.8087444439,160.1765,189.6066666667
2020-12-03,120.0893680236,206.6653609104,90.6529986672,159.3365,197.7933333333
2020-12-04,119.4153671782,206.7811182074,90.7485360126,158.129,199.68
2020-12-07,120.8805864074,206.7135931175,90.4136577132,157.9,213.92
2020-12-08,121.4959784836,208.3727810411,90.1300312189,158.8645,216.6266666667
2020-12-09,118.9562651531,204.3116292047,88.4645963479,155.21,201.4933333333
2020-12-10,120.3824118695,203.0768847034,87.9565566098,155.0745,209.0233333333
2020-12-11,119.5716572293,205.7200096516,88.3123337036,155.821,203.33
2020-12-14,118.9562651531,206.6267751447,87.1907650752,157.8485,213.2766666667
2020-12-15,124.9148233517,206.5592500548,87.6296397558,158.256,211.0833333333
2020-12-16,124.8464464544,211.5271673844,87.4360771132,162.048,207.59
2020-12-17,125.7158098637,211.6622175642,86.6060964246,161.804,218.6333333333
2020-12-18,123.7182276479,210.8615629266,85.8950398275,160.0825,231.6666666667
2020-12-21,125.2567078385,214.7201394933,86.3100301718,160.309,216.62
2020-12-22,128.8220746296,216.0224090845,85.5964856229,160.326,213.4466666667
2020-12-23,127.9234068357,213.2056481909,85.995055486,159.2635,215.3266666667
2020-12-24,128.9099877833,214.874482556,86.2901265581,158.6345,220.59
2020-12-28,133.5205442911,217.006346109,88.2705361149,164.198,221.23
2020-12-29,131.7427449597,216.2249843543,87.4644397627,166.1,221.9966666667
2020-12-30,130.6194102173,213.8423133244,86.3941229394,164.2925,231.5933333333
2020-12-31,129.6132930133,214.5561499892,87.2096735081,162.8465,235.2233333333
2021-01-04,126.4093469655,209.9933831991,85.8905615144,159.3315,243.2566666667
2021-01-05,127.9722474766,210.1959584689,86.5832072689,160.9255,245.0366666667
2021-01-06,123.6645029428,204.7457190685,85.7288446536,156.919,251.9933333333
2021-01-07,127.8843343229,210.5721696841,88.2894445479,158.108,272.0133333333
